Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Barcode,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Grams,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status,Age,Pieces,Rating,Rating Count
lego-77255-lego-speed-champions-77255-lightning-mcqueen-270-pieces-building-blocks,"LEGO Speed Champions 77255 Lightning McQueen (270 pieces), Building Blocks","LIGHTNING McQUEEN FROM DISNEY PIXAR CARS – Kids ages 9 and up can celebrate the 20th anniversary of the movie Cars with this LEGO® Speed Champions | Lightning McQueen (77255) car toy building set
AUTHENTIC DESIGN – Model includes details from the movie version, including the lightning bolt, his headlight stickers, number 95, Rust-Eze sponsor logo and Lightyear logo imprinted on the tires
DETAILED UNDERCARRIAGE – This Lightning McQueen model is the only LEGO® Speed Champions car with a detailed undercarriage for extra play value
DISNEY PIXAR CARS DISPLAY SET – After kids have enjoyed a rewarding build with this collectible Lightning McQueen toy building set, they can proudly display it on a shelf, desk or bedside table
CAR GIFT FOR KIDS – This Lightning McQueen model provides a fun build-and-play experience and is a great gift idea for kids, boys and girls ages 9 and up, nostalgic adults or movie fans
EXPAND THE RACING FUN – Discover more LEGO® Speed Champions car building sets (sold separately) packed with authentic details
ICONIC CARS FOR PLAY AND DISPLAY – LEGO® Speed Champions car building kits let kids and passionate car fans build replica versions of some of the world’s most famous vehicles
DIMENSIONS – A 270-piece LEGO® construction set featuring a Lightning McQueen toy building set measuring over 1.5 in. (4 cm) high, 5.5 in. (14 cm) long and 3 in. (7 cm) wide",LEGO,Speed Champions,"New, Speed Champions, Building Toys, Ages 9+, Speed Champions, Novelty",TRUE,Title,Default Title,77255,5702018068212,shopify,0,deny,manual,354,2099.00,,TRUE,TRUE,https://sg-test-11.slatic.net/p/8d865a635536888a0c4e85907d52587a.jpg,1,"LEGO Speed Champions 77255 Lightning McQueen (270 pieces), Building Blocks",active,9+,270,,
lego-77255-lego-speed-champions-77255-lightning-mcqueen-270-pieces-building-blocks,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/92c660ac0b389ae4fef74de9e4fa720a.jpg,2,"LEGO Speed Champions 77255 Lightning McQueen (270 pieces), Building Blocks",,,,,
lego-77255-lego-speed-champions-77255-lightning-mcqueen-270-pieces-building-blocks,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/20e40c25bea3f83f429ab44e596943d3.jpg,3,"LEGO Speed Champions 77255 Lightning McQueen (270 pieces), Building Blocks",,,,,
lego-77255-lego-speed-champions-77255-lightning-mcqueen-270-pieces-building-blocks,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/6ef360c67ffe69fb2a9802d3e4252ea0.jpg,4,"LEGO Speed Champions 77255 Lightning McQueen (270 pieces), Building Blocks",,,,,
lego-77255-lego-speed-champions-77255-lightning-mcqueen-270-pieces-building-blocks,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/3dbbb22570b137cc517d7f5dbf95ad47.jpg,5,"LEGO Speed Champions 77255 Lightning McQueen (270 pieces), Building Blocks",,,,,
lego-77255-lego-speed-champions-77255-lightning-mcqueen-270-pieces-building-blocks,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/9e98cf54784411768985ec228cfa1262.jpg,6,"LEGO Speed Champions 77255 Lightning McQueen (270 pieces), Building Blocks",,,,,
lego-77255-lego-speed-champions-77255-lightning-mcqueen-270-pieces-building-blocks,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/c48d91896cde0fde312d1a75e49d3e48.jpg,7,"LEGO Speed Champions 77255 Lightning McQueen (270 pieces), Building Blocks",,,,,
lego-77255-lego-speed-champions-77255-lightning-mcqueen-270-pieces-building-blocks,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/4f40e27bca50955e583876ccea604708.jpg,8,"LEGO Speed Champions 77255 Lightning McQueen (270 pieces), Building Blocks",,,,,
lego-77244-lego-speed-champions-77244-mercedes-amg-f1-w15-race-car-age-10-building-blocks-2025-267pcs,"LEGO Speed Champions 77244 Mercedes-AMG F1 W15 Race Car, Age 10+, Building Blocks, 2025 (267pcs)","Mercedes-AMG PETRONAS F1® Team toy vehicle for kids – LEGO® Speed Champions Mercedes-AMG PETRONAS F1 Team Race Car vehicle set for boys and girls aged 10 and up to build, display and race 1 driver minifigure – This car playset includes a driver minifigure wearing a Mercedes-AMG PETRONAS F1® Team outfit and a winged helmet for kids to place inside the cockpit for role-play race action Authentic Mercedes-AMG PETRONAS F1® Team details – The F1 race car features design details from the real-life 2024 version, including sponsor stickers and wider rear tires imprinted with “Pirelli” F1® fun for all the family – Race for the checkered flag alongside the whole family using other building sets (sold separately) in the LEGO® F1 range F1® race car display model – After kids have enjoyed playing out racing stories with the Mercedes-AMG PETRONAS F1 Team toy, they can display it on a shelf or bedside table F1® gift idea – This premium F1 race car model provides a fun build-and-play experience and is a great LEGO® gift idea for kids aged 10 and up and adult car-model collectors F1® race car display model – After kids have enjoyed playing out racing stories with the Mercedes-AMG PETRONAS F1 Team toy, they can display it on a shelf or bedside table F1® gift idea – This premium F1 race car model provides a fun build-and-play experience and is a great LEGO® gift idea for kids aged 10 and up and adult car-model collectors Play with and display iconic buildable cars – LEGO® Speed Champions sets let kids and car lovers create brick-built versions of some of the world’s most famous vehicles Measurements – A 267-piece car playset featuring a Mercedes-AMG PETRONAS F1® Team race car that measures over 1.5 in. (4 cm) high, 8 in. (20 cm) long and 3 in. (8 cm) wide",LEGO,Speed Champions,"New, Speed Champions, Building Toys, Ages 10+, Speed Champions, Outgoing",TRUE,Title,Default Title,77244,5702017816111,shopify,0,deny,manual,284,1999.00,,TRUE,TRUE,https://sg-test-11.slatic.net/p/a7bf0ce488d7fb1804607cffe4fa3565.jpg,1,"LEGO Speed Champions 77244 Mercedes-AMG F1 W15 Race Car, Age 10+, Building Blocks, 2025 (267pcs)",active,10+,267,,
lego-77244-lego-speed-champions-77244-mercedes-amg-f1-w15-race-car-age-10-building-blocks-2025-267pcs,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/a209d821ecff47e2ebbf1c07d4b75e5e.jpg,2,"LEGO Speed Champions 77244 Mercedes-AMG F1 W15 Race Car, Age 10+, Building Blocks, 2025 (267pcs)",,,,,
lego-77244-lego-speed-champions-77244-mercedes-amg-f1-w15-race-car-age-10-building-blocks-2025-267pcs,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/9ccaaca72d64c8346d3a037782e571b0.jpg,3,"LEGO Speed Champions 77244 Mercedes-AMG F1 W15 Race Car, Age 10+, Building Blocks, 2025 (267pcs)",,,,,
lego-77244-lego-speed-champions-77244-mercedes-amg-f1-w15-race-car-age-10-building-blocks-2025-267pcs,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/42dc5d9ce4d2f793b7b55094f338f6c8.jpg,4,"LEGO Speed Champions 77244 Mercedes-AMG F1 W15 Race Car, Age 10+, Building Blocks, 2025 (267pcs)",,,,,
lego-77244-lego-speed-champions-77244-mercedes-amg-f1-w15-race-car-age-10-building-blocks-2025-267pcs,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/0a99d07c4a70514b6d28bc01de98997c.jpg,5,"LEGO Speed Champions 77244 Mercedes-AMG F1 W15 Race Car, Age 10+, Building Blocks, 2025 (267pcs)",,,,,
lego-77244-lego-speed-champions-77244-mercedes-amg-f1-w15-race-car-age-10-building-blocks-2025-267pcs,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/a565ffad098a6b7af956ec7617ec7fef.jpg,6,"LEGO Speed Champions 77244 Mercedes-AMG F1 W15 Race Car, Age 10+, Building Blocks, 2025 (267pcs)",,,,,
