"handle","status","product_id","error"
"lego-42207-lego-technic-42207-ferrari-sf-24-f1-car-age-18-building-blocks-2025-1361pcs","created","10829331923256",""
"lego-42226-lego-technic-42226-bmw-m4-gt3-evo-race-car-747-pieces-building-blocks","created","10829332611384",""
"lego-31173-lego-creator3-in-1-31173-wild-animals-tropical-toucan-age-7-building-blocks-2025-225pcs","created","10829333266744",""
"lego-10465-lego-duplo-10465-mickey-mouse-clubhouse-with-minnie-and-plu-87-pieces-building-blocks","created","10829334053176",""
"lego-43290-lego-disney-pixar-43290-kevin-and-dug-628-pieces-building-blocks","created","10829334544696",""
"lego-11376-lego-icons-11376-ford-model-t-1060-pieces-building-blocks","created","10829335167288",""
"lego-43019-lego-editions-sports-43019-soccer-ball-1498-pieces-building-blocks","created","10829335789880",""
"lego-71860-lego-ninjago-71860-lloyd-s-titan-mech-15th-anniversary-1293-pieces-building-blocks","created","10829336445240",""
"lego-31169-lego-creator-3-in-1-31169-typewriter-with-flowers-age-8-building-blocks-2025-363pcs","created","10829336871224",""
"lego-75412-lego-star-wars-75412-death-trooper-and-night-trooper-battle-pack-age-6-building-blocks-2025-119pcs","created","10829337723192",""
"lego-60456-lego-city-60456-police-boat-chase-age-6-building-blocks-2025-264pcs","created","10829338444088",""
"lego-60451-lego-city-60451-emergency-ambulance-age-5-building-blocks-2025-184pcs","created","10829339164984",""
"lego-76321-lego-super-heroes-marvel-76321-spider-man-vs-doc-ock-subway-train-scene-age-9-building-blocks-2025-393pcs","created","10829339918648",""
"lego-10457-lego-duplo-10457-winnie-the-pooh-s-birthday-party-age-1-building-blocks-2025-22pcs","created","10829340639544",""
"lego-31163-lego-creator-3-in-1-31163-playful-cat-age-8-building-blocks-2025-407pcs","created","10829341065528",""
"lego-42151-lego-technic-42151-bugatti-bolide-age-9-building-blocks-2023-905pcs","created","10829341557048",""
"lego-42210-lego-technic-42210-2-fast-2-furious-nissan-skyline-gt-r-r34-car-age-18-building-blocks-2025-1410pcs","created","10829342048568",""
"lego-21366-lego-ideas-21366-floating-sea-otter-1234-pieces-building-blocks","created","10829342900536",""
"lego-43020-lego-editions-sports-43020-fifa-world-cup-official-trophy-2842-pieces-building-blocks","created","10829344145720",""
"lego-43288-lego-disney-classic-43288-sally-s-flowerpot-346-pieces-building-blocks","created","10829344702776",""
"lego-21362-lego-ideas-21362-mineral-collection-age-18-building-blocks-2025-880pcs","created","10829345521976",""
"lego-72040-lego-super-mario-72040-captain-toad-s-camp-age-6-building-blocks-2025-159pcs","created","10829346177336",""
"lego-42642-lego-friends-42642-friendship-movie-night-age-6-building-blocks-2025-154pcs","created","10829347127608",""
"lego-76972-lego-jurassic-world-76972-raptor-off-road-escape-age-6-building-blocks-2025-285pcs","created","10829348340024",""
"lego-76312-lego-super-heroes-marvel-76312-the-hulk-truck-vs-thanos-age-7-building-blocks-2025-229pcs","created","10829349060920",""
"lego-10452-lego-duplo-10452-camping-trip-age-2-building-blocks-2025-32pcs","created","10829349847352",""
"lego-42649-lego-friends-42649-heartlake-city-candy-store-age-6-building-blocks-2025-376pcs","created","10829350928696",""
"lego-42659-lego-friends-42659-friendship-road-trip-travel-car-age-6-building-blocks-2025-220pcs","created","10829351715128",""
"lego-42661-lego-friends-42661-costume-party-with-unicorn-and-fairy-age-6-building-blocks-2025-260pcs","created","10829352403256",""
"lego-43274-lego-disney-classic-43274-minnie-s-pet-hotel-age-4-building-blocks-2025-161pcs","created","10829353386296",""
"lego-72041-lego-super-mario-72041-party-at-toad-s-house-age-7-building-blocks-2025-276pcs","created","10829354926392",""
"lego-72038-lego-super-mario-72038-wario-and-king-boo-age-8-building-blocks-2025-512pcs","created","10829356106040",""
"lego-31217-lego-art-31217-the-fauna-collection-tiger-age-18-building-blocks-2025-744pcs","created","10829356728632",""
"lego-75438-lego-star-wars-75438-yoda-bust-399-pieces-building-blocks","created","10829357646136",""
"lego-75439-lego-star-wars-75439-dart-vader-bust-349-pieces-building-blocks","created","10829358661944",""
"lego-71858-lego-ninjago-71858-four-weapons-blacksmith-15th-anniversary-1259-pieces-building-blocks","created","10829359776056",""
"lego-76343-lego-super-heroes-marvel76343-epic-battle-hulkbuster-vs-the-hulk-413-pieces-building-blocks","created","10829360988472",""
"lego-76327-lego-super-heroes-marvel-76327-iron-man-mk4-bust-age-18-building-blocks-2025-436pcs","created","10829362069816",""
"lego-11040-lego-classic-11040-magical-transparent-box-age-5-building-blocks-2025-340pcs","created","10829363544376",""
"lego-75431-lego-star-wars-75431-327th-star-corps-clone-troopers-battle-pack-age-7-building-blocks-2025-258pcs","created","10829365444920",""
"lego-10330-lego-icons-10330-mclaren-mp4-4-and-ayrton-senna-age-18-building-blocks-2024-693pcs","created","10829366657336",""
"lego-10456-lego-duplo-10456-mcqueen-s-visit-to-doc-s-garage-age-2-building-blocks-2025-35pcs","created","10829367869752",""
"lego-76448-lego-harry-potter-76448-fawkes-dumbledore-s-phoenix-age-8-building-blocks-2025-299pcs","created","10829369409848",""
"lego-10295-lego-d2c-10295-creator-expert-porsche-911-age-18-building-blocks-2021-1458pcs","created","10829370196280",""
"lego-21270-lego-minecraft-21270-the-mooshroom-house-age-8-building-blocks-2025-500pcs","created","10829371015480",""
"lego-31216-lego-art-31216-keith-haring-dancing-figures-age-18-building-blocks-2025-1773pcs","created","10829371572536",""
"lego-75637-lego-one-piece-75637-buggy-the-clown-s-circus-tent-age-8-building-blocks-2025-573pcs","created","10829371670840",""
"lego-21272-lego-minecraft-21272-woodland-mansion-fighting-ring-age-10-building-blocks-2025-491pcs","created","10829372195128",""
"lego-10443-lego-duplo-10443-first-time-at-the-airport-age-2-building-blocks-2025-23pcs","created","10829373178168",""
"lego-11041-lego-classic-11041-creative-dinosaurs-age-5-building-blocks-2025-450pcs","created","10829374914872",""
"lego-71843-lego-ninjago-71843-rogue-s-mech-dragon-rider-age-8-building-blocks-2025-584pcs","created","10829375078712",""
"lego-76323-lego-super-heroes-marvel-76323-avengers-endgame-final-battle-age-10-building-blocks-2025-621pcs","created","10829376061752",""
"lego-42161-lego-technic-42161-lamborghini-hurac-n-tecnica-age-9-building-blocks-2023-806pcs","created","10829378191672",""
"lego-31151-lego-creator-3-in-1-31151-t-rex-age-9-building-blocks-2024-626pcs","created","10829378322744",""
"lego-42179-lego-technic-42179-planet-earth-and-moon-in-orbit-age-10-building-blocks-2024-526pcs","created","10829379699000",""
"lego-10426-lego-duplo-10426-train-bridge-and-tracks-expansion-set-age-2-building-blocks-2025-42pcs","created","10829379731768",""
"lego-31161-lego-creator-3-in-1-31161-medieval-dragon-age-9-building-blocks-2025-715pcs","created","10829380780344",""
"lego-10427-lego-duplo-10427-interactive-adventure-train-age-2-building-blocks-2025-57pcs","created","10829380813112",""
"lego-42652-lego-friends-42652-friendship-tree-house-hangout-age-8-building-blocks-2025-701pcs","created","10829380911416",""
"lego-76444-lego-harry-potter-76444-diagon-alley-wizarding-shops-age-18-building-blocks-2025-2750pcs","created","10829381796152",""
"lego-76269-lego-d2c-super-heroes-marvel-76269-avengers-tower-age-18-building-blocks-2023-5201pcs","created","10829381828920",""
"lego-75433-lego-star-wars-75433-jango-fett-s-starship-age-9-building-blocks-2025-707pcs","created","10829381861688",""
"lego-10473-lego-duplo-10473-fire-truck-with-hose-and-firefighter-28-pieces-building-blocks","created","10829382746424",""
"lego-21589-lego-minecraft-21589-mini-biomes-797-pieces-building-blocks","created","10829382811960",""
"lego-60478-lego-city-60478-cement-mixer-371-pieces-building-blocks","created","10829383500088",""
"lego-10467-lego-duplo-10467-family-house-84-pieces-building-blocks","created","10829383762232",""
"lego-11201-lego-bluey-11201-playground-fun-with-bluey-and-chloe-age-4-building-blocks-2025-104pcs","created","10829383991608",""
"lego-11202-lego-bluey-11202-bluey-s-beach-and-family-car-trip-age-4-building-blocks-2025-133pcs","created","10829384974648",""
"lego-60508-lego-city-60508-police-train-heist-1313-pieces-building-blocks","created","10829385335096",""
"lego-43272-lego-disney-princess-43272-heihei-age-9-building-blocks-2025-566pcs","created","10829385761080",""
"lego-42223-lego-technic-42223-1966-ford-gt40-mkii-race-car-793-pieces-building-blocks","created","10829386219832",""
"lego-75452-lego-star-wars-75452-bb-8-astromech-droid-569-pieces-building-blocks","created","10829386449208",""
"lego-42220-lego-technic-42220-monster-jam-sparkle-smash-pull-back-243-pieces-building-blocks","created","10829386875192",""
"lego-43286-lego-disney-classic-43286-the-aristocats-adorable-marie-369-pieces-building-blocks","created","10829387858232",""
"lego-10476-lego-duplo-10476-3-in-1-construction-site-and-vehicles-84-pieces-building-blocks","created","10829388611896",""
"lego-42224-lego-technic-42224-porsche-911-gt3-r-rexy-ao-racing-car-1313-pieces-building-blocks","created","10829388775736",""
"lego-76342-lego-super-heroes-marvel-76342-spider-man-vs-mysterio-the-daily-bugle-781-pieces-building-blocks","created","10829388874040",""
"lego-76463-lego-harry-potter-76463-hogwarts-castle-hospital-wing-907-pieces-building-blocks","created","10829390577976",""
"lego-76975-lego-jurassic-world-76975-t-rex-river-escape-age-5-building-blocks-2025-199pcs","created","10829391135032",""
"lego-21278-lego-minecraft-21278-the-pillager-outpost-and-ravager-age-9-building-blocks-2025-665pcs","created","10829391593784",""
"lego-76322-lego-super-heroes-marvel-76322-avengers-endgame-thor-vs-chitauri-age-8-building-blocks-2025-373pcs","created","10829392642360",""
"lego-76461-lego-harry-potter-76461-cornish-pixie-320-pieces-building-blocks","created","10829392740664",""
"lego-21588-lego-minecraft-21588-the-fox-497-pieces-building-blocks","created","10829394772280",""
"lego-10455-lego-duplo-10455-anna-and-elsa-s-frozen-castle-party-age-2-building-blocks-2025-54pcs","created","10829394968888",""
"lego-76319-lego-super-heroes-marvel-76319-captain-america-vs-thanos-age-4-building-blocks-2025-107pcs","created","10829395755320",""
"lego-75407-lego-star-wars-75407-brick-built-star-wars-logo-age-18-building-blocks-2025-700pcs","created","10829395788088",""
"lego-31166-lego-creator3-in-1-31166-beautiful-horse-age-9-building-blocks-2025-685pcs","created","10829396574520",""
"lego-76317-lego-super-heroes-marvel-76317-peter-parker-s-apartment-age-8-building-blocks-2025-394pcs","created","10829396902200",""
"lego-75638-lego-one-piece-75638-battle-at-arlong-park-age-9-building-blocks-2025-926pcs","created","10829397197112",""
"lego-76304-lego-super-heroes-dc-76304-batman-forever-batmobile-age-12-building-blocks-2025-909pcs","created","10829398016312",""
"lego-31168-lego-creator3-in-1-31168-medieval-horse-knight-castle-age-9-building-blocks-2025-1371pcs","created","10829398049080",""
"lego-42171-lego-technic-42171-mercedes-amg-f1-w14-e-performance-age-18-building-blocks-2024-1642pcs","created","10829398147384",""
"lego-75415-lego-star-wars-75415-kylo-ren-helmet-age-18-building-blocks-2025-529pcs","created","10829399687480",""
"lego-75399-lego-star-wars-75399-rebel-u-wing-starfighter-age-8-building-blocks-2025-594pcs","created","10829400375608",""
"lego-21273-lego-minecraft-21273-the-ghast-balloon-village-attack-age-10-building-blocks-2025-555pcs","created","10829400539448",""
"lego-76445-lego-harry-potter-76445-hogwarts-castle-herbology-class-age-8-building-blocks-2025-390pcs","created","10829401784632",""
"lego-42208-lego-technic-42208-aston-martin-valkyrie-age-9-building-blocks-2025-707pcs","created","10829402964280",""
"lego-10441-lego-duplo-10441-shape-sorter-puppy-house-age-1-building-blocks-2025-17pcs","created","10829404307768",""
